GEO.display-label,HC01_VC56
Geography,Estimate; RACE - One race - Asian
"Washington County, Rhode Island",3352
"Aiken County, South Carolina",1938
"Anderson County, South Carolina",1935
"Beaufort County, South Carolina",2367
"Berkeley County, South Carolina",5728
"Charleston County, South Carolina",6001
"Darlington County, South Carolina",N
"Dorchester County, South Carolina",2803
"Florence County, South Carolina",1751
"Greenville County, South Carolina",11379
"Greenwood County, South Carolina",918
"Horry County, South Carolina",4425
"Lancaster County, South Carolina",412
"Laurens County, South Carolina",981
"Lexington County, South Carolina",4965
"Oconee County, South Carolina",404
"Orangeburg County, South Carolina",529
"Pickens County, South Carolina",3013
"Richland County, South Carolina",10198
"Spartanburg County, South Carolina",6514
"Sumter County, South Carolina",1659
"York County, South Carolina",4854
"Minnehaha County, South Dakota",4477
"Pennington County, South Dakota",1444
"Anderson County, Tennessee",1208
"Blount County, Tennessee",914
"Bradley County, Tennessee",243
"Davidson County, Tennessee",25891
"Greene County, Tennessee",208
"Hamilton County, Tennessee",6865
"Knox County, Tennessee",10650
"Madison County, Tennessee",1017
"Maury County, Tennessee",70
"Montgomery County, Tennessee",5439
"Putnam County, Tennessee",1664
"Robertson County, Tennessee",429
"Rutherford County, Tennessee",10482
"Sevier County, Tennessee",500
"Shelby County, Tennessee",22771
"Sullivan County, Tennessee",664
"Sumner County, Tennessee",2300
"Washington County, Tennessee",2028
"Williamson County, Tennessee",9027
"Wilson County, Tennessee",2438
"Angelina County, Texas",1007
"Bastrop County, Texas",1293
"Bell County, Texas",9696
"Bexar County, Texas",56054
"Bowie County, Texas",1265
"Brazoria County, Texas",23012
"Brazos County, Texas",14050
"Cameron County, Texas",3497
"Collin County, Texas",132486
"Comal County, Texas",1532
"Coryell County, Texas",1656
"Dallas County, Texas",157592
"Denton County, Texas",63864
"Ector County, Texas",1809
"Ellis County, Texas",1390
"El Paso County, Texas",11107
"Fort Bend County, Texas",146796
"Galveston County, Texas",11418
"Grayson County, Texas",1826
"Gregg County, Texas",1883
"Guadalupe County, Texas",3061
"Harris County, Texas",317740
"Harrison County, Texas",N
"Hays County, Texas",3314
"Henderson County, Texas",53
"Hidalgo County, Texas",9403
"Hunt County, Texas",1488
"Jefferson County, Texas",10050
"Johnson County, Texas",1305
"Kaufman County, Texas",1429
"Liberty County, Texas",476
"Lubbock County, Texas",5857
"McLennan County, Texas",3858
"Midland County, Texas",3386
"Montgomery County, Texas",15327
"Nacogdoches County, Texas",N
"Nueces County, Texas",6628
"Orange County, Texas",1198
"Parker County, Texas",731
"Potter County, Texas",5672
"Randall County, Texas",2313
"Rockwall County, Texas",2560
"San Patricio County, Texas",598
"Smith County, Texas",3832
"Tarrant County, Texas",109096
"Taylor County, Texas",3333
"Tom Green County, Texas",1289
"Travis County, Texas",76749
"Victoria County, Texas",1396
"Walker County, Texas",N
"Webb County, Texas",832
"Wichita County, Texas",3735
"Williamson County, Texas",35179
"Cache County, Utah",3234
"Davis County, Utah",6019
"Salt Lake County, Utah",44706
"Utah County, Utah",8277
"Washington County, Utah",1461
"Weber County, Utah",2914
"Chittenden County, Vermont",5969
"Albemarle County, Virginia",5383
"Arlington County, Virginia",23558
"Augusta County, Virginia",N
